wav,class_string,ID,Name,subclass,fold
cryceleb_1334.wav,positive,1334,cryceleb_1334,cryceleb,1
cryceleb_3447.wav,positive,3447,cryceleb_3447,cryceleb,1
cryceleb_2798.wav,positive,2798,cryceleb_2798,cryceleb,1
cryceleb_4274.wav,positive,4274,cryceleb_4274,cryceleb,1
cryceleb_1533.wav,positive,1533,cryceleb_1533,cryceleb,1
cryceleb_23.wav,positive,23,cryceleb_23,cryceleb,1
cryceleb_3127.wav,positive,3127,cryceleb_3127,cryceleb,1
cryceleb_252.wav,positive,252,cryceleb_252,cryceleb,1
cryceleb_1027.wav,positive,1027,cryceleb_1027,cryceleb,1
cryceleb_2277.wav,positive,2277,cryceleb_2277,cryceleb,1
cryceleb_1079.wav,positive,1079,cryceleb_1079,cryceleb,1
cryceleb_1965.wav,positive,1965,cryceleb_1965,cryceleb,1
cryceleb_1492.wav,positive,1492,cryceleb_1492,cryceleb,1
cryceleb_2821.wav,positive,2821,cryceleb_2821,cryceleb,1
cryceleb_2648.wav,positive,2648,cryceleb_2648,cryceleb,1
cryceleb_526.wav,positive,526,cryceleb_526,cryceleb,1
cryceleb_4029.wav,positive,4029,cryceleb_4029,cryceleb,1
cryceleb_1991.wav,positive,1991,cryceleb_1991,cryceleb,1
cryceleb_2579.wav,positive,2579,cryceleb_2579,cryceleb,1
cryceleb_2020.wav,positive,2020,cryceleb_2020,cryceleb,1
cryceleb_4461.wav,positive,4461,cryceleb_4461,cryceleb,1
cryceleb_4375.wav,positive,4375,cryceleb_4375,cryceleb,1
cryceleb_601.wav,positive,601,cryceleb_601,cryceleb,1
cryceleb_3910.wav,positive,3910,cryceleb_3910,cryceleb,1
cryceleb_630.wav,positive,630,cryceleb_630,cryceleb,1
cryceleb_3027.wav,positive,3027,cryceleb_3027,cryceleb,1
cryceleb_319.wav,positive,319,cryceleb_319,cryceleb,1
cryceleb_1580.wav,positive,1580,cryceleb_1580,cryceleb,1
cryceleb_3573.wav,positive,3573,cryceleb_3573,cryceleb,1
cryceleb_1830.wav,positive,1830,cryceleb_1830,cryceleb,1
cryceleb_1234.wav,positive,1234,cryceleb_1234,cryceleb,1
cryceleb_4299.wav,positive,4299,cryceleb_4299,cryceleb,1
cryceleb_4436.wav,positive,4436,cryceleb_4436,cryceleb,1
cryceleb_3627.wav,positive,3627,cryceleb_3627,cryceleb,1
cryceleb_1032.wav,positive,1032,cryceleb_1032,cryceleb,1
cryceleb_1831.wav,positive,1831,cryceleb_1831,cryceleb,1
cryceleb_2960.wav,positive,2960,cryceleb_2960,cryceleb,1
cryceleb_4088.wav,positive,4088,cryceleb_4088,cryceleb,1
cryceleb_4294.wav,positive,4294,cryceleb_4294,cryceleb,1
cryceleb_2488.wav,positive,2488,cryceleb_2488,cryceleb,1
cryceleb_2539.wav,positive,2539,cryceleb_2539,cryceleb,1
cryceleb_1531.wav,positive,1531,cryceleb_1531,cryceleb,1
cryceleb_3682.wav,positive,3682,cryceleb_3682,cryceleb,1
cryceleb_4460.wav,positive,4460,cryceleb_4460,cryceleb,1
cryceleb_3759.wav,positive,3759,cryceleb_3759,cryceleb,1
cryceleb_3156.wav,positive,3156,cryceleb_3156,cryceleb,1
cryceleb_1238.wav,positive,1238,cryceleb_1238,cryceleb,1
cryceleb_2462.wav,positive,2462,cryceleb_2462,cryceleb,1
cryceleb_1399.wav,positive,1399,cryceleb_1399,cryceleb,1
cryceleb_4538.wav,positive,4538,cryceleb_4538,cryceleb,1
cryceleb_294.wav,positive,294,cryceleb_294,cryceleb,1
cryceleb_1474.wav,positive,1474,cryceleb_1474,cryceleb,1
cryceleb_1183.wav,positive,1183,cryceleb_1183,cryceleb,1
cryceleb_882.wav,positive,882,cryceleb_882,cryceleb,1
cryceleb_821.wav,positive,821,cryceleb_821,cryceleb,1
cryceleb_2270.wav,positive,2270,cryceleb_2270,cryceleb,1
cryceleb_385.wav,positive,385,cryceleb_385,cryceleb,1
cryceleb_4467.wav,positive,4467,cryceleb_4467,cryceleb,1
cryceleb_2279.wav,positive,2279,cryceleb_2279,cryceleb,1
cryceleb_1649.wav,positive,1649,cryceleb_1649,cryceleb,1
cryceleb_567.wav,positive,567,cryceleb_567,cryceleb,1
cryceleb_3467.wav,positive,3467,cryceleb_3467,cryceleb,1
cryceleb_3407.wav,positive,3407,cryceleb_3407,cryceleb,1
cryceleb_600.wav,positive,600,cryceleb_600,cryceleb,1
cryceleb_3838.wav,positive,3838,cryceleb_3838,cryceleb,1
cryceleb_1232.wav,positive,1232,cryceleb_1232,cryceleb,1
cryceleb_1333.wav,positive,1333,cryceleb_1333,cryceleb,1
cryceleb_4552.wav,positive,4552,cryceleb_4552,cryceleb,1
cryceleb_3899.wav,positive,3899,cryceleb_3899,cryceleb,1
cryceleb_3380.wav,positive,3380,cryceleb_3380,cryceleb,1
cryceleb_1454.wav,positive,1454,cryceleb_1454,cryceleb,1
cryceleb_2591.wav,positive,2591,cryceleb_2591,cryceleb,1
cryceleb_1491.wav,positive,1491,cryceleb_1491,cryceleb,1
cryceleb_2466.wav,positive,2466,cryceleb_2466,cryceleb,1
cryceleb_446.wav,positive,446,cryceleb_446,cryceleb,1
cryceleb_1246.wav,positive,1246,cryceleb_1246,cryceleb,1
cryceleb_941.wav,positive,941,cryceleb_941,cryceleb,1
cryceleb_3239.wav,positive,3239,cryceleb_3239,cryceleb,1
cryceleb_282.wav,positive,282,cryceleb_282,cryceleb,1
cryceleb_3604.wav,positive,3604,cryceleb_3604,cryceleb,1
cryceleb_2498.wav,positive,2498,cryceleb_2498,cryceleb,1
cryceleb_2584.wav,positive,2584,cryceleb_2584,cryceleb,1
cryceleb_2721.wav,positive,2721,cryceleb_2721,cryceleb,1
cryceleb_3096.wav,positive,3096,cryceleb_3096,cryceleb,1
cryceleb_522.wav,positive,522,cryceleb_522,cryceleb,1
cryceleb_1262.wav,positive,1262,cryceleb_1262,cryceleb,1
cryceleb_4020.wav,positive,4020,cryceleb_4020,cryceleb,1
cryceleb_2215.wav,positive,2215,cryceleb_2215,cryceleb,1
cryceleb_2511.wav,positive,2511,cryceleb_2511,cryceleb,1
cryceleb_3618.wav,positive,3618,cryceleb_3618,cryceleb,1
cryceleb_4297.wav,positive,4297,cryceleb_4297,cryceleb,1
cryceleb_1417.wav,positive,1417,cryceleb_1417,cryceleb,1
cryceleb_1323.wav,positive,1323,cryceleb_1323,cryceleb,1
cryceleb_4435.wav,positive,4435,cryceleb_4435,cryceleb,1
cryceleb_1790.wav,positive,1790,cryceleb_1790,cryceleb,1
cryceleb_838.wav,positive,838,cryceleb_838,cryceleb,1
cryceleb_945.wav,positive,945,cryceleb_945,cryceleb,1
cryceleb_620.wav,positive,620,cryceleb_620,cryceleb,1
